Land_Required_Hectare,Land_Acquired_Hectare,Affected_Families,Displaced_Families,Compensation_Amount_Crore,RR_Amount_Crore,R&R_Progress_Percent,Legal_Disputes_Count,Historical_Delay_Days,Risk_Score_0_100,Delay_Label,Land_Acquisition_Ratio,Displacement_Ratio,Total_Compensation_Crore,Sanction_Date_Year,Sanction_Date_Month,3A_Notification_Date_Year,3A_Notification_Date_Month,3D_Notification_Date_Year,3D_Notification_Date_Month,Award_Date_Year,Award_Date_Month,Payment_Date_Year,Payment_Date_Month,Possession_Date_Year,Possession_Date_Month,State_Gujarat,State_Karnataka,State_Madhya Pradesh,State_Maharashtra,State_Odisha,State_Rajasthan,State_Tamil Nadu,State_Uttar Pradesh,State_West Bengal,District_Ahmedabad,District_Ajmer,District_Alwar,District_Aurangabad,District_Bardhaman,District_Bengaluru Urban,District_Bhagalpur,District_Bhopal,District_Bhubaneswar,District_Chennai,District_Coimbatore,District_Cuttack,District_Gaya,District_Gorakhpur,District_Gwalior,District_Hooghly,District_Howrah,District_Indore,District_Jabalpur,District_Jaipur,District_Jodhpur,District_Kanpur Nagar,District_Kolkata,District_Kota,District_Lucknow,District_Madurai,District_Mangaluru,District_Muzaffarpur,District_Mysuru,District_Nagpur,District_Nashik,District_Patna,District_Prayagraj,District_Pune,District_Puri,District_Rajkot,District_Salem,District_Sambalpur,District_Surat,District_Thane,District_Ujjain,District_Vadodara,District_Varanasi,Project_Type_Irrigation,Project_Type_National Highway,Project_Type_Railway,Project_Type_Renewable Energy,Project_Type_Urban Development,Compensation_Status_Partially paid,Compensation_Status_Pending,Possession_Status_Pending,Possession_Status_Substantially complete
169.36,107.95,304,50,207.8,13.46,97.7,4,736,58,0,0.6373996221067548,0.16447368421052633,221.26000000000002,2019,5,2019,8,2021,8,2021,5,2022,12,2023,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
60.51,57.81,94,15,124.42,6.28,93.8,4,1745,49,0,0.9553792761527021,0.1595744680851064,130.7,2021,4,2023,2,2022,6,2024,5,2025,12,2028,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
84.41,33.67,164,26,214.35,10.61,100.0,4,2240,68,1,0.398886387868736,0.15853658536585366,224.95999999999998,2018,11,2019,12,2020,9,2024,5,2026,1,2026,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False
68.02,46.03,129,24,223.83,11.34,100.0,1,602,57,0,0.6767127315495443,0.18604651162790697,235.17000000000002,2018,7,2019,5,2022,3,2019,4,2020,2,2022,3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
29.96,23.3,48,8,53.02,5.04,86.7,1,1438,56,0,0.7777036048064085,0.16666666666666666,58.06,2022,3,2023,1,2024,8,2025,6,2025,8,2027,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
88.53,50.36,158,35,364.77,10.93,91.7,2,1284,61,1,0.5688467186264543,0.22151898734177214,375.7,2020,8,2021,5,2023,8,2024,5,2025,3,2026,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
63.12,23.25,127,28,163.72,8.78,95.4,3,272,45,0,0.36834600760456276,0.2204724409448819,172.5,2018,2,2020,7,2020,6,2019,2,2019,8,2020,6,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
126.4,76.31,239,36,290.61,19.32,100.0,3,2393,58,0,0.6037183544303797,0.1506276150627615,309.93,2018,12,2020,5,2020,1,2025,3,2026,9,2028,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
18.92,17.47,32,5,56.72,3.02,100.0,0,1247,48,0,0.9233615221987314,0.15625,59.74,2019,2,2021,4,2020,6,2021,11,2023,2,2024,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
5.27,3.5,9,1,7.48,0.36,100.0,0,315,38,0,0.6641366223908919,0.1111111111111111,7.840000000000001,2017,11,2019,8,2018,9,2019,5,2020,10,2021,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
85.22,76.39,156,29,101.78,18.13,100.0,6,2104,50,0,0.8963858249237269,0.1858974358974359,119.91,2025,10,2027,4,2026,4,2030,8,2032,4,2033,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42.51,19.81,83,18,88.51,2.42,90.4,1,1238,64,1,0.46600799811808985,0.21686746987951808,90.93,2023,7,2025,3,2027,9,2028,4,2028,6,2029,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
22.29,19.25,42,6,21.13,0.94,91.4,0,1893,52,0,0.863615971287573,0.14285714285714285,22.07,2016,8,2016,10,2017,4,2021,8,2022,12,2024,8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
23.57,11.23,50,7,51.78,2.79,94.3,1,36,22,0,0.4764531183708104,0.14,54.57,2025,6,2026,1,2026,4,2026,7,2026,9,2028,8,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
385.56,229.29,689,138,1266.37,62.11,76.5,22,1548,71,1,0.594693432928727,0.20029027576197386,1328.4799999999998,2016,3,2018,5,2018,2,2020,4,2020,6,2022,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
15.77,10.31,26,6,60.0,3.06,100.0,0,2507,56,0,0.6537729866835764,0.23076923076923078,63.06,2020,11,2021,1,2023,10,2026,12,2027,10,2029,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
12.76,8.63,16,3,37.58,1.81,100.0,0,1315,55,0,0.676332288401254,0.1875,39.39,2024,3,2025,3,2027,11,2027,10,2028,10,2029,7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
