Project_ID,State,District,Project_Type,Land_Required_Hectare,Land_Acquired_Hectare,Affected_Families,Displaced_Families,Sanction_Date,3A_Notification_Date,3D_Notification_Date,Award_Date,Payment_Date,Possession_Date,Compensation_Amount_Crore,RR_Amount_Crore,Compensation_Status,R&R_Progress_Percent,Legal_Disputes_Count,Possession_Status,Historical_Delay_Days,Risk_Score_0_100,Delay_Label,Data_Basis,date_issue
BHNV-00003,Odisha,Sambalpur,Urban Development,84.41,33.67,164,26,2018-11-25,2019-12-18,2020-09-27,2024-05-18,2026-01-06,2026-05-28,214.35,10.61,Pending,100.0,4,Pending,2240,68,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00005,West Bengal,Kolkata,Irrigation,29.96,23.3,48,8,2022-03-02,2023-01-22,2024-08-15,2025-06-07,2025-08-22,2027-08-02,53.02,5.04,Partially paid,86.7,1,Partial possession,1438,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00006,Tamil Nadu,Madurai,National Highway,88.53,50.36,158,35,2020-08-01,2021-05-17,2023-08-06,2024-05-11,2025-03-26,2026-08-19,364.77,10.93,Pending,91.7,2,Pending,1284,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00012,Odisha,Cuttack,National Highway,42.51,19.81,83,18,2023-07-28,2025-03-10,2027-09-13,2028-04-26,2028-06-15,2029-03-25,88.51,2.42,Pending,90.4,1,Pending,1238,64,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00013,Odisha,Cuttack,Urban Development,22.29,19.25,42,6,2016-08-12,2016-10-17,2017-04-05,2021-08-02,2022-12-07,2024-08-30,21.13,0.94,Partially paid,91.4,0,Partial possession,1893,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00014,Rajasthan,Alwar,National Highway,23.57,11.23,50,7,2025-06-19,2026-01-15,2026-04-27,2026-07-04,2026-09-29,2028-08-12,51.78,2.79,Pending,94.3,1,Pending,36,22,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00016,Gujarat,Rajkot,Irrigation,15.77,10.31,26,6,2020-11-22,2021-01-15,2023-10-17,2026-12-17,2027-10-30,2029-07-09,60.0,3.06,Partially paid,100.0,0,Partial possession,2507,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00018,Odisha,Bhubaneswar,Urban Development,32.63,21.86,45,8,2018-08-18,2020-06-14,2022-01-25,2023-07-12,2024-12-18,2025-02-21,109.57,4.0,Pending,99.1,0,Partial possession,1576,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00023,Tamil Nadu,Madurai,Industrial Corridor,215.05,160.52,404,64,2016-04-02,2016-06-08,2019-10-21,2019-11-05,2020-11-22,2022-12-14,382.78,27.4,Partially paid,100.0,18,Partial possession,1706,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
BHNV-00024,Bihar,Gaya,Railway,29.39,17.69,54,11,2023-07-05,2024-08-20,2024-09-07,2027-11-18,2028-01-08,2029-06-07,86.18,4.82,Partially paid,74.4,0,Pending,1088,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems,False
