Project_ID,State,District,Project_Type,Land_Required_Hectare,Land_Acquired_Hectare,Affected_Families,Displaced_Families,Sanction_Date,3A_Notification_Date,3D_Notification_Date,Award_Date,Payment_Date,Possession_Date,Compensation_Amount_Crore,RR_Amount_Crore,Compensation_Status,R&R_Progress_Percent,Legal_Disputes_Count,Possession_Status,Historical_Delay_Days,Risk_Score_0_100,Delay_Label,Data_Basis
BHNV-00001,West Bengal,Hooghly,Irrigation,169.36,107.95,304,50,2019-05-03,2019-08-29,2021-08-24,2021-05-14,2022-12-12,2023-08-14,207.8,13.46,Partially paid,97.7,4,Pending,736,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00002,Madhya Pradesh,Ujjain,Urban Development,60.51,57.81,94,15,2021-04-29,2023-02-26,2022-06-10,2024-05-18,2025-12-25,2028-02-17,124.42,6.28,Mostly paid,93.8,4,Substantially complete,1745,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00003,Odisha,Sambalpur,Urban Development,84.41,33.67,164,26,2018-11-25,2019-12-18,2020-09-27,2024-05-18,2026-01-06,2026-05-28,214.35,10.61,Pending,100.0,4,Pending,2240,68,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00004,Gujarat,Ahmedabad,Railway,68.02,46.03,129,24,2018-07-05,2019-05-16,2022-03-08,2019-04-12,2020-02-27,2022-03-18,223.83,11.34,Partially paid,100.0,1,Partial possession,602,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00005,West Bengal,Kolkata,Irrigation,29.96,23.3,48,8,2022-03-02,2023-01-22,2024-08-15,2025-06-07,2025-08-22,2027-08-02,53.02,5.04,Partially paid,86.7,1,Partial possession,1438,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00006,Tamil Nadu,Madurai,National Highway,88.53,50.36,158,35,2020-08-01,2021-05-17,2023-08-06,2024-05-11,2025-03-26,2026-08-19,364.77,10.93,Pending,91.7,2,Pending,1284,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00007,Rajasthan,Ajmer,Renewable Energy,63.12,23.25,127,28,2018-02-14,2020-07-13,2020-06-23,2019-02-14,2019-08-26,2020-06-15,163.72,8.78,Pending,95.4,3,Pending,272,45,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00008,West Bengal,Hooghly,Industrial Corridor,126.4,76.31,239,36,2018-12-16,2020-05-03,2020-01-12,2025-03-05,2026-09-10,2028-03-18,290.61,19.32,Partially paid,100.0,3,Pending,2393,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00009,Odisha,Sambalpur,Railway,18.92,17.47,32,5,2019-02-07,2021-04-02,2020-06-30,2021-11-09,2023-02-10,2024-08-07,56.72,3.02,Mostly paid,100.0,0,Substantially complete,1247,48,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00010,Gujarat,Rajkot,Industrial Corridor,5.27,3.5,9,1,2017-11-16,2019-08-30,2018-09-09,2019-05-01,2020-10-15,2021-03-09,7.48,0.36,Partially paid,100.0,0,Partial possession,315,38,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00011,Madhya Pradesh,Indore,National Highway,85.22,76.39,156,29,2025-10-07,2027-04-25,2026-04-04,2030-08-27,2032-04-09,2033-07-28,101.78,18.13,Mostly paid,100.0,6,Partial possession,2104,50,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00012,Odisha,Cuttack,National Highway,42.51,19.81,83,18,2023-07-28,2025-03-10,2027-09-13,2028-04-26,2028-06-15,2029-03-25,88.51,2.42,Pending,90.4,1,Pending,1238,64,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00013,Odisha,Cuttack,Urban Development,22.29,19.25,42,6,2016-08-12,2016-10-17,2017-04-05,2021-08-02,2022-12-07,2024-08-30,21.13,0.94,Partially paid,91.4,0,Partial possession,1893,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00014,Rajasthan,Alwar,National Highway,23.57,11.23,50,7,2025-06-19,2026-01-15,2026-04-27,2026-07-04,2026-09-29,2028-08-12,51.78,2.79,Pending,94.3,1,Pending,36,22,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00015,Bihar,Gaya,Industrial Corridor,385.56,229.29,689,138,2016-03-04,2018-05-07,2018-02-20,2020-04-28,2020-06-11,2022-01-17,1266.37,62.11,Pending,76.5,22,Pending,1548,71,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00016,Gujarat,Rajkot,Irrigation,15.77,10.31,26,6,2020-11-22,2021-01-15,2023-10-17,2026-12-17,2027-10-30,2029-07-09,60.0,3.06,Partially paid,100.0,0,Partial possession,2507,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00017,Maharashtra,Aurangabad,Irrigation,12.76,8.63,16,3,2024-03-14,2025-03-27,2027-11-04,2027-10-11,2028-10-06,2029-07-07,37.58,1.81,Partially paid,100.0,0,Partial possession,1315,55,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00018,Odisha,Bhubaneswar,Urban Development,32.63,21.86,45,8,2018-08-18,2020-06-14,2022-01-25,2023-07-12,2024-12-18,2025-02-21,109.57,4.0,Pending,99.1,0,Partial possession,1576,57,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00019,Bihar,Bhagalpur,Renewable Energy,97.56,49.35,155,25,2019-10-07,2021-05-01,2020-06-28,2026-03-01,2027-08-14,2028-01-08,378.78,9.87,Pending,100.0,5,Pending,1937,64,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00020,Maharashtra,Nagpur,Industrial Corridor,292.48,166.14,510,105,2025-09-04,2027-10-22,2027-02-15,2030-12-25,2031-03-14,2033-02-04,1070.65,40.59,Partially paid,85.8,11,Pending,1832,65,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00021,Gujarat,Ahmedabad,Industrial Corridor,57.82,50.38,118,26,2022-06-25,2023-03-08,2026-01-18,2024-05-12,2025-08-22,2025-09-10,114.71,13.79,Mostly paid,100.0,4,Partial possession,527,49,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00022,Uttar Pradesh,Lucknow,National Highway,8.41,5.63,12,3,2016-12-22,2018-01-03,2017-07-30,2019-03-13,2020-09-06,2022-06-30,24.57,0.56,Partially paid,84.4,0,Partial possession,1436,58,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00023,Tamil Nadu,Madurai,Industrial Corridor,215.05,160.52,404,64,2016-04-02,2016-06-08,2019-10-21,2019-11-05,2020-11-22,2022-12-14,382.78,27.4,Partially paid,100.0,18,Partial possession,1706,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00024,Bihar,Gaya,Railway,29.39,17.69,54,11,2023-07-05,2024-08-20,2024-09-07,2027-11-18,2028-01-08,2029-06-07,86.18,4.82,Partially paid,74.4,0,Pending,1088,61,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00025,Karnataka,Bengaluru Urban,Renewable Energy,12.97,8.51,24,1,2019-08-16,2021-04-06,2022-11-19,2024-02-27,2025-03-28,2025-10-12,30.82,0.5,Pending,74.1,3,Partial possession,1167,62,1,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00026,Uttar Pradesh,Prayagraj,National Highway,10.18,6.95,15,1,2020-02-26,2020-11-17,2023-08-10,2026-09-15,2027-05-06,2028-07-02,22.19,0.87,Partially paid,100.0,0,Partial possession,2002,56,0,Synthetic prototype; fields modeled on public government land-acquisition systems
BHNV-00027,Tamil Nadu,Chennai,Railway,69.15,58.97,131,25,2020-08-04,2021-03-02,2024-07-05,2024-10-19,2025-07-06,2025-10-19,102.29,10.06,Mostly paid,84.7,3,Partial possession,1336,52,0,Synthetic prototype; fields modeled on public government land-acquisition systems
